file,category,size_bytes,source_url
core_sys/images/style_parts/bg/ti/grd02_bk.gif,Other,482,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_bk.gif
core_sys/images/style_parts/bg/ti/grd01_kh.gif,Other,315,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd01_kh.gif
core_sys/images/style_parts/bg/ti/grd03_gl.gif,Other,310,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd03_gl.gif
core_sys/images/style_parts/bg/ti/grd04_gr.gif,Other,313,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_gr.gif
core_sys/images/style_parts/ico/arrow/ar02_or02.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_or02.gif
core_sys/images/style_parts/ico/arrow/ar02_gl02.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_gl02.gif
core_sys/images/style_parts/ico/arrow/ar02_or01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_or01.gif
core_sys/images/style_parts/ico/arrow/ar02_re01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_re01.gif
core_sys/images/style_parts/ico/arrow/ar02_gl01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_gl01.gif
core_sys/images/style_parts/ico/arrow/ar02_kh01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_kh01.gif
core_sys/images/style_parts/ico/arrow/ar02_en01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_en01.gif
core_sys/images/style_parts/ico/arrow/ar01_bl02.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_bl02.gif
core_sys/images/style_parts/ico/arrow/ar01_bk.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_bk.gif
core_sys/images/style_parts/ico/arrow/ar02_sm01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_sm01.gif
core_sys/images/style_parts/ico/arrow/ar01_bl01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_bl01.gif
core_sys/images/style_parts/ico/arrow/ar02_gr02.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_gr02.gif
