url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000012/00000021.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080002.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara03a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080002.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080003.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080002.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000013/00000022.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080003.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara04a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080003.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080004.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080003.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000014/00000023.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080004.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara05a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080004.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080005.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080004.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000015/00000024.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080005.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara06a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080005.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080006.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080005.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000016/00000025.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080006.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara07a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080006.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080007.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080006.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000017/00000026.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080007.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara08a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080007.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080008.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080007.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000065/00000125.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080008.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara09a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080008.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080009.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080008.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000066/00000126.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080009.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara10a.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080009.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080010.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080009.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000008/block/00000067/00000130.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080010.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/chara/bt_chara11a.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080010.html
